,Company Name,Company Code
0,"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.",600000
1,"Guangzhou Baiyun International Airport Co.,ltd.",600004
2,"Dongfeng  Automobile  Co.,LTD",600006
3,China World Trade Center Company Ltd.,600007
4,"Beijing Capital Eco-Environment Protection Group Co.,Ltd.",600008
5,"Shanghai International Airport Co., Ltd.",600009
6,"Inner Mongolia BaoTou Steel Union Co.,Ltd.",600010
7,"Huaneng Power International, INC.",600011
8,Anhui Expressway Company Limited,600012
9,"HUA XIA BANK CO., Limited",600015
10,CHINA MINSHENG BANK,600016
11,"RIZHAO PORT CO.,LTD.",600017
12,"Shanghai International Port (Group) Co., Ltd",600018
13,"Baoshan Iron & Steel Co., Ltd.",600019
14,Henan Zhongyuan Expressway Company Limited,600020
15,SHANGHAI ELECTRIC POWER COMPANY LIMITED,600021
16,SHANDONG IRON AND STEEL COMPANY LTD,600022
17,"Zhejiang Zheneng Electric Power Co.,Ltd",600023
18,Huaneng Lancang River Hydropower Inc.,600025
19,"COSCO SHIPPING Energy Transportation Co., Ltd.",600026
20,Huadian Power International Corporation Limited,600027
21,China Petroleum & Chemical Corporation,600028
22,China Southern Airlines Company Limited,600029
23,CITIC Securities Company Limited,600030
24,"SANY HEAVY INDUSTRY CO.,LTD",600031
25,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",600032
26,Fujian Expressway Development Company Limited,600033
27,"Hubei Chutian Smart Communication Co.,Ltd.",600035
28,"China Merchants Bank Co., Ltd.",600036
29,"Beijing Gehua CATV Network Co., LTD.",600037
30,AVICOPTER PLC,600038
31,"Sichuan Road & Bridge Group Co.,Ltd.",600039
32,"Poly Developments and Holdings Group Co., Ltd.",600048
33,CHINA UNITED NETWORK COMMUNICATIONS  LIMITED,600050
34,"NINGBO UNITED GROUP CO.,LTD.",600051
35,"Zhejiang Dongwang Times Technology Co., Ltd.",600052
36,"Kunwu Jiuding Investment Holdings CO., Ltd",600053
37,"Huangshan Tourism Development Co.,Ltd.",600054
38,"Beijing Wandong Medical Technology Co., Ltd.",600055
39,"CHINA MEHECO GROUP CO., LTD.",600056
40,"XIAMEN XIANGYU CO., LTD.",600057
41,"MINMETALS DEVELOPMENT CO., LTD.",600058
42,ZheJiang GuYueLongShan ShaoXing Wine Co.LTD,600059
43,"Hisense Visual Technology Co., Ltd.",600060
44,"SDIC Capital Co., Ltd",600061
45,"CHINA RESOURCES DOUBLE－CRANE PHARMACEUTICAL CO.,LTD.",600062
46,ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED,600063
47,NANJING GAOKE COMPANY LIMITED,600064
48,"YUTONG BUS CO., LTD.",600066
49,"CITYCHAMP DARTONG ADVANCED MATERIALS CO.,LTD.",600067
50,phenix optics  company limited,600071
51,"CSSC Science & Technology Co., Ltd",600072
52,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",600073
53,"XINJIANG TIANYE CO.,LTD.",600075
54,"Kangxin New Materials Co., Ltd.",600076
55,"Jiangsu Chengxing Phosph-Chemical Co.,Ltd",600078
56,GINWA ENTERPRISE(GROUP) INC.,600080
57,"DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD.",600081
58,"Tianjin Hi-Tech Development Co., Ltd.",600082
59,"CITIC NIYA WINE CO., LTD.",600084
60,"BEIJING TONG REN TANG CO., LTD",600085
61,"China Television Media,Ltd.",600088
62,"TBEA CO.,LTD.",600089
63,GREATTOWN HOLDINGS LTD.,600094
64,"XIANGCAI CO.,LTD",600095
65,"YUNNAN YUNTIANHUA CO.,LTD",600096
66,"SHANGHAI KAICHUANG MARINE INTERNATIONAL CO.,LTD.",600097
67,Guangzhou Development Group Incorporated,600098
68,"LINHAI CO.,LTD.",600099
69,"TSINGHUA TONGFANG CO., LTD",600100
70,"SICHUAN MINGXING ELECTRIC POWER CO.,LTD",600101
71,"Fujian Qingshan Paper Industry Co.,Ltd.",600103
72,SAIC Motor Corporation Limited,600104
73,"JIANGSU ETERN CO., LTD.",600105
74,"CHONGQING ROAD & BRIDGE CO.,LTD",600106
75,"GANSU YASHENG INDUSTRIAL（GROUP）CO.,LTD",600108
76,"SINOLINK SECURITIES CO., LTD.",600109
77,"NUODE INVESTMENT CO.,LTD",600110
78,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",600111
79,"ZHE JIANG DONG RI CO., LTD",600113
80,"NBTM NEW MATERIALS GROUP Co., Ltd.",600114
81,China Eastern Airlines Corporation Limited,600115
82,"Chongqing Three Gorges Water Conservancy And Electric Power Co.,Ltd.",600116
83,"XINING SPECIAL STEEL CO.,LTD",600117
84,"China Spacesat Co.,Ltd.",600118
85,"Y.U.D Yangtze River Investment Industry Co.,Ltd.",600119
86,"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120
87,"ZHENGZHOU COAL INDUSTRY & ELECTRIC POWER CO.,LTD.",600121
88,"Shanxi Lanhua Sci-tech Venture Co.,Ltd",600123
89,"CHINA RAILWAY TIELONG CONTAINER LOGISTICS CO., LTD",600125
90,"HangZhou Iron And Steel Co.,Ltd.",600126
91,"JINJIAN CEREALS INDUSTRY CO.,LTD.",600127
92,SOHO HOLLY CORPORATION,600128
93,"CHONGQING TAIJI INDUSTRY(GROUP) CO.,LTD",600129
94,"STATE GRID INFORMATION&COMMUNICATION CO.,LTD.",600131
95,Chongqing Brewery Company Limited,600132
96,"WUHAN EAST LAKE HIGH TECHNOLOGY GROUPE CO.,LTD.",600133
97,LUCKY FILM COMPANY LIMITED,600135
98,Sichuan Langsha　holding　CO.LTD,600137
99,"CHINA CYTS TOURS HOLDING CO.,LTD.",600138
100,phenix optics  company limited,600071
101,"CSSC Science & Technology Co., Ltd",600072
102,"SHANGHAI BRIGHT MEAT GROUP CO.,LTD.",600073
103,"XINJIANG TIANYE CO.,LTD.",600075
104,"Kangxin New Materials Co., Ltd.",600076
105,"Jiangsu Chengxing Phosph-Chemical Co.,Ltd",600078
106,GINWA ENTERPRISE(GROUP) INC.,600080
107,"DONG FENG ELECTRONIC TECHNOLOGY CO.,LITD.",600081
108,"Tianjin Hi-Tech Development Co., Ltd.",600082
109,"CITIC NIYA WINE CO., LTD.",600084
110,"BEIJING TONG REN TANG CO., LTD",600085
111,"China Television Media,Ltd.",600088
112,"TBEA CO.,LTD.",600089
113,GREATTOWN HOLDINGS LTD.,600094
114,"XIANGCAI CO.,LTD",600095
115,"YUNNAN YUNTIANHUA CO.,LTD",600096
116,"SHANGHAI KAICHUANG MARINE INTERNATIONAL CO.,LTD.",600097
117,Guangzhou Development Group Incorporated,600098
118,"LINHAI CO.,LTD.",600099
119,"TSINGHUA TONGFANG CO., LTD",600100
120,"SICHUAN MINGXING ELECTRIC POWER CO.,LTD",600101
121,"Fujian Qingshan Paper Industry Co.,Ltd.",600103
122,SAIC Motor Corporation Limited,600104
